순번,결함유형,점검일자,광역자치단체,기초자치단체,체육시설,시설물명,주소,건물구분,위치구분,점검항목,지적사항,이미지URL,이미지파일이름,이미지확장자,가로해상도,세로해상도
137,미끄럼방지,2025-09-16,대전광역시,서구,체육관,도솔다목적체육관,대전광역시 서구 배재로197번길 41 (도마동),건물 내외부,계단 경사로,"미끄럼 방지시설, 낙하 및 추락방지 그물 설치 등",25하-2 (조치필요) 2층 관람석 계단 미끄럼 방지 시설 미부착,http://openapi.kspo.or.kr/web/ai/,137_8548BEDEF99C53CBBC5010AC3A1D4803.jpg,jpg,329,281
138,미끄럼방지,2025-09-23,부산광역시,동래구,체육관,부산종합운동장 실내체육관,부산광역시 동래구 사직로 55-32(사직동),건물 내외부,계단 경사로,"미끄럼 방지시설, 낙하 및 추락방지 그물 설치 등",(조치필요)지상 4층 1. 관람석 계단 미끄럼방지 미설치,http://openapi.kspo.or.kr/web/ai/,138_08A2006A9A1DE3267EE53D69AC77B6E7.jpg,jpg,335,255
139,미끄럼방지,2025-07-29,경상남도,합천군,체육관,합천체육관,경상남도 합천군 합천읍 장수로 1,건물 내외부,계단 경사로,"미끄럼 방지시설, 낙하 및 추락방지 그물 설치 등",25하-1(조치필요) 외부 주출입구 계단 미끄럼방지시설 미설치,http://openapi.kspo.or.kr/web/ai/,139_2B51074D436F83C2F31AF32599AE6C0B.jpg,jpg,207,275
140,미끄럼방지,2025-08-04,충청남도,홍성군,전천후게이트볼장,홍성전천후게이트볼장,충청남도 홍성군 홍성읍 홍덕서로 78,건물 내외부,계단 경사로,"미끄럼 방지시설, 낙하 및 추락방지 그물 설치 등",25하-1(조치필요) 1층 주출입구 계단 논슬립 미설치,http://openapi.kspo.or.kr/web/ai/,140_378C380C7ECF98C5128E62FA78189FCF.jpg,jpg,209,280
141,미끄럼방지,2025-07-15,경기도,남양주시,육상경기장,남양주시종합운동장보조경기장,경기도 남양주시 다산지금로 91 (이패동),건물 내외부,계단 경사로,"미끄럼 방지시설, 낙하 및 추락방지 그물 설치 등",25하-1(조치필요) 본부석 주계단 미끄럼방지 미설치,http://openapi.kspo.or.kr/web/ai/,141_CC2E4F379689058C75977BF47D666888.png,png,163,277
142,미끄럼방지,2025-09-05,경기도,평택시,수영장,평택시실내수영장,경기도 평택시 평남로 616 (합정동),건물 내외부,계단 경사로,"미끄럼 방지시설, 낙하 및 추락방지 그물 설치 등",25하-3(조치필요) 지상1층 계단 논슬립 미설치,http://openapi.kspo.or.kr/web/ai/,142_25D6F91D930DCDA9D31526BFFEE3D74E.png,png,448,278
143,미끄럼방지,2025-09-08,전북특별자치도,전주시,축구장,(취약시설)전주아중체련공원축구장,전북특별자치도 전주시 덕진구 한배미6길 23 (인후동1가),건물 내외부,계단 경사로,"미끄럼 방지시설, 낙하 및 추락방지 그물 설치 등",25하-1(조치필요) 출입구 및 관람석 계단 전체적으로 미끄럼방지시설 미설치,http://openapi.kspo.or.kr/web/ai/,143_79EE744F2182EE69590A0F1891A4216A.jpg,jpg,344,258
144,미끄럼방지,2025-09-03,경기도,안산시,수영장,안산올림픽실내수영장,경기도 안산시 단원구 적금로 202 (고잔동),건물 내외부,계단 경사로,"미끄럼 방지시설, 낙하 및 추락방지 그물 설치 등","25하-2(조치필요) 지상1층 후문 출입 계단 미끄럼 방지 일부 미설치, 지상2층 정문 출입구 양쪽 경사로 미끄럼 방지 미설치",http://openapi.kspo.or.kr/web/ai/,144_17650AAC93ADC6525B56223F6472739B.jpg,jpg,214,285
145,미끄럼방지,2025-07-22,경기도,남양주시,체육관,금곡동실내체육관,금곡동 152-40,건물 내외부,계단 경사로,"미끄럼 방지시설, 낙하 및 추락방지 그물 설치 등","25하-1(조치필요) 지상1층 체육관 무대계단, 지상1층 출입 계단 미끄럼 방지 미설치 다수",http://openapi.kspo.or.kr/web/ai/,145_6C2BE443F87F141C0AC053AECEF41592.jpg,jpg,212,284
146,미끄럼방지,2025-07-29,광주광역시,서구,체육관,검도장,광주광역시 서구 금화로 278 (풍암동),건물 내외부,계단 경사로,"미끄럼 방지시설, 낙하 및 추락방지 그물 설치 등",25하-1(조치필요) 계단 미끄럼방지시설 미설치,http://openapi.kspo.or.kr/web/ai/,146_BD3A9BC9B7FBCCDB86276675BC4DB9ED.jpg,jpg,351,263
147,미끄럼방지,2025-08-05,충청남도,홍성군,체육관,홍주문화체육센터,충청남도 홍성군 홍성읍 홍덕서로 78,건물 내외부,계단 경사로,"미끄럼 방지시설, 낙하 및 추락방지 그물 설치 등",25하-1(조치필요) 지하층 진입 계단실 논슬립 미설치,http://openapi.kspo.or.kr/web/ai/,147_6EE62D8C903A76D672D5092EEC0E4AE9.jpg,jpg,354,266
148,미끄럼방지,2025-08-07,경상북도,울진군,체육관,울진군민체육관,울진읍 연지리793,건물 내외부,계단 경사로,"미끄럼 방지시설, 낙하 및 추락방지 그물 설치 등","25하-3(조치필요) 지상1층 무대 계단, 지상1층 경기장 진입 계단, 지상1층 주출입구 및 부출입구 외부 계단 및 경사로, 지상2층 관람석 계단 미끄럼 방지 미설치 다수",http://openapi.kspo.or.kr/web/ai/,148_4878BE270B6D36F196B87055E7937B7F.jpg,jpg,196,261
149,난간의 흔들림,2025-05-19,경기도,포천시,육상경기장,포천종합운동장,경기도 포천시 군내면 호국로 1518,건물 내외부,난간,난간의 흔들림 및 손상 여부,25상-1(조치필요) 야외 스탠드 난간 표면부식,http://openapi.kspo.or.kr/web/ai/,149_4C84B95F109F0C4D1DEE8F90DC5B99ED.jpg,jpg,333,248
150,난간의 흔들림,2025-06-25,경기도,김포시,육상경기장,김포시종합운동장,경기도 김포시 돌문로15번길 20 (사우동),건물 내외부,난간,난간의 흔들림 및 손상 여부,"25상-12(조치필요) 2층 관람석 난간 녹오염, 부식",http://openapi.kspo.or.kr/web/ai/,150_F69EFBD404A292EB1A44A505473B7A95.jpg,jpg,330,248
151,난간의 흔들림,2025-06-24,충청남도,금산군,체육관,금산군 생활체육관(족구장),충청남도 금산군 금성면 진산로 47,건물 내외부,난간,난간의 흔들림 및 손상 여부,"25상-4(조치필요) 외부 계단마감파손, 난간고정불량",http://openapi.kspo.or.kr/web/ai/,151_8ABA12780AD184D441B585DCA14AA769.jpg,jpg,330,248
152,난간의 흔들림,2025-08-05,충청남도,청양군,체육관,(취약시설)(취약시설)청양군문화체육센터,충청남도 청양군 청양읍 칠갑산로 221,건물 내외부,난간,난간의 흔들림 및 손상 여부,25상-10(조치필요) 외부 계단 난간 고정 불량 및 노후화,http://openapi.kspo.or.kr/web/ai/,152_6D4977C1E6A38C619149CF474C31934A.jpg,jpg,330,248
153,난간의 흔들림,2025-08-06,충청남도,청양군,체육관,(취약시설)(취약시설)청양군민체육관,충청남도 청양군 청양읍 충절로 1204,건물 내외부,난간,난간의 흔들림 및 손상 여부,25상-12(조치필요) 외부 배면 계단 난간 파손,http://openapi.kspo.or.kr/web/ai/,153_2A2A79A96F6F18A5DDC93FB7CD303C2B.jpg,jpg,330,247
154,난간의 흔들림,2025-08-26,경상남도,남해군,야구장,남해스포츠파크인조야구장,경상남도 남해군 서면 스포츠파크길 74,건물 내외부,난간,난간의 흔들림 및 손상 여부,25상-8(조치필요)  필드 관람석 난간접합부 부식(전반적),http://openapi.kspo.or.kr/web/ai/,154_70F5463A4DB4E27A2539A44761FA4DA2.jpg,jpg,330,248
155,난간의 흔들림,2025-07-14,경기도,부천시,육상경기장,부천종합운동장,경기도 부천시 소사로 482 (춘의동),건물 내외부,난간,난간의 흔들림 및 손상 여부,24상-1(조치필요) 관람석 난간 부식상태 다수,http://openapi.kspo.or.kr/web/ai/,155_273D0CE1054042E54B3A000E355BEE17.jpg,jpg,331,248
156,난간의 흔들림,2025-09-11,전북특별자치도,무주군,축구장,면생활체육공원(안성축구장),전라북도 무주군 안성면 구량천로 82,건물 내외부,난간,난간의 흔들림 및 손상 여부,25상-5(조치필요)관람석 난간 파손,http://openapi.kspo.or.kr/web/ai/,156_DC047A63C09A95963CE9382C416C807C.jpg,jpg,325,280
157,난간의 흔들림,2025-09-08,전북특별자치도,전주시,축구장,(취약시설)전주아중체련공원축구장,전북특별자치도 전주시 덕진구 한배미6길 23 (인후동1가),건물 내외부,난간,난간의 흔들림 및 손상 여부,25하-2(조치필요) 스탠드 난간 흔들림(고정 불량),http://openapi.kspo.or.kr/web/ai/,157_AE77C3FCC2C32CD519E46E70A65E98D7.jpg,jpg,360,270
158,난간의 흔들림,2025-07-21,경상남도,창원시,체육관,창원체육관,경상남도 창원시 성산구 원이대로 450(중앙동),건물 내외부,난간,난간의 흔들림 및 손상 여부,25하-2(조치필요) 2층 15구역 관람석 난간 탈락,http://openapi.kspo.or.kr/web/ai/,158_43C2D6008F240BD2F2972AD93C22B53B.jpg,jpg,368,276
159,난간의 흔들림,2025-07-22,충청북도,제천시,체육관,제천체육관,충청북도 제천시 숭의로 85 (화산동),건물 내외부,난간,난간의 흔들림 및 손상 여부,"25상-6 (조치필요) 2층 내6문, 내7문 방향 계단실 난간 높이 미흡",http://openapi.kspo.or.kr/web/ai/,159_1C43FB616AABC29A1647D056D4C0840E.jpg,jpg,370,278
160,난간의 흔들림,2025-08-25,경기도,포천시,육상경기장,포천종합운동장,경기도 포천시 군내면 호국로 1518,건물 내외부,난간,난간의 흔들림 및 손상 여부,25상-1(조치필요) 야외 스탠드 난간 표면부식,http://openapi.kspo.or.kr/web/ai/,160_192288BA2E811700486DC994A21AA80D.jpg,jpg,367,275
161,난간의 흔들림,2025-06-17,충청남도,청양군,체육관,(취약시설)(취약시설)청양군문화체육센터,충청남도 청양군 청양읍 칠갑산로 221,건물 내외부,난간,난간의 흔들림 및 손상 여부,25상-10(조치필요) 외부 계단 난간 고정 불량 및 노후화,http://openapi.kspo.or.kr/web/ai/,161_67E47EFE8F41947CC73178776E7E0B1E.jpg,jpg,205,273
162,난간의 흔들림,2025-09-12,경기도,김포시,육상경기장,김포시종합운동장,경기도 김포시 돌문로15번길 20 (사우동),건물 내외부,난간,난간의 흔들림 및 손상 여부,"25상-12(조치필요) 2층 관람석 난간 녹오염, 부식",http://openapi.kspo.or.kr/web/ai/,162_FAD3FDAFC17906789AC0277FC0CA2676.png,png,213,130
163,난간의 흔들림,2025-08-12,전북특별자치도,군산시,육상경기장,월명종합경기장주경기장,전북특별자치도 군산시 번영로 281 (사정동),건물 내외부,난간,난간의 흔들림 및 손상 여부,(조치필요)지상 4층 4. Vip석측 계단 난간 봉 흔들림,http://openapi.kspo.or.kr/web/ai/,163_C8A856B7A7EB8119FDA1A1EA14549435.png,png,180,296
164,난간의 흔들림,2025-07-24,충청북도,제천시,하키장,청풍명월국제하키장,충청북도 제천시 청풍면 물태리103,건물 내외부,난간,난간의 흔들림 및 손상 여부,25하-2(조치필요) 관중석 스탠드 난간 높이 미달,http://openapi.kspo.or.kr/web/ai/,164_DDE765EE8C56DC9B328874F2EDEEDD71.png,png,445,271
165,난간의 흔들림,2025-08-25,인천광역시,연수구,롤러스케이트장,동춘인라인롤러경기장,인천광역시 연수구 능허대로 499 (동춘동),건물 내외부,난간,난간의 흔들림 및 손상 여부,25상-3(조치필요) 1층 일반동 복도 핸드레일 접합 불량,http://openapi.kspo.or.kr/web/ai/,165_387AC191E91144F3A48F2EDA3AC22B28.jpg,jpg,367,275
166,난간의 흔들림,2025-09-03,경상남도,진주시,축구장,모덕축구장,경상남도 진주시 모덕로47번길 24 (상대동),건물 내외부,난간,난간의 흔들림 및 손상 여부,25상-2(조치필요) 1층 진입 경사로 난간 고정 불량,http://openapi.kspo.or.kr/web/ai/,166_528D7FEEF23CA2523921DE31D17E055B.jpg,jpg,377,283
167,옥상방수마감,2025-05-29,경기도,안산시,수영장,안산올림픽실내수영장,경기도 안산시 단원구 적금로 202 (고잔동),건물 내외부,옥상 / 지붕,"옥상 방수, 마감 등 안전상태",25상-6(조치필요) 지붕층 바닥마감열화,http://openapi.kspo.or.kr/web/ai/,167_F740F6271D86500F6295177922667869.jpg,jpg,330,248
168,옥상방수마감,2025-05-22,인천광역시,남동구,체육관,인천시청소년수련관체육관,인천광역시 남동구 장수로 42 (장수동),건물 내외부,옥상 / 지붕,"옥상 방수, 마감 등 안전상태",25상-5(조치필요) 지붕층 배수구 이물질,http://openapi.kspo.or.kr/web/ai/,168_BA572D2D060BD555995774D0ABF9785C.jpg,jpg,330,248
169,옥상방수마감,2025-05-28,울산광역시,북구,체육관,오토밸리복지센터,울산광역시 북구 산업로 1020 (연암동),건물 내외부,옥상 / 지붕,"옥상 방수, 마감 등 안전상태",25상-1(조치필요) 옥상 방수마감 손상,http://openapi.kspo.or.kr/web/ai/,169_AE0902163D561497FC53C75F4E251C75.jpg,jpg,330,247
170,옥상방수마감,2025-08-05,충청남도,청양군,체육관,(취약시설)(취약시설)청양군문화체육센터,충청남도 청양군 청양읍 칠갑산로 221,건물 내외부,옥상 / 지붕,"옥상 방수, 마감 등 안전상태",25상-11(조치필요) 지붕층 바닥 구배불량 및 물고임,http://openapi.kspo.or.kr/web/ai/,170_A368C958DB9263F020B7E4F53D1EE545.jpg,jpg,331,247
171,옥상방수마감,2025-08-04,충청남도,공주시,체육관,백제체육관,충청남도 공주시 고마나루길 51-14(웅진동),건물 내외부,옥상 / 지붕,"옥상 방수, 마감 등 안전상태",24하-2(조치필요) 3층 테라스 방수도장 상태불량,http://openapi.kspo.or.kr/web/ai/,171_DCFBC90D7B904DA7B72880538F53773C.jpg,jpg,331,248
172,옥상방수마감,2025-08-28,경기도,김포시,체육관,김포시실내체육관,경기도 김포시 사우중로 26 (사우동),건물 내외부,옥상 / 지붕,"옥상 방수, 마감 등 안전상태",25상-1(조치필요) 지붕 방수마감 들뜸,http://openapi.kspo.or.kr/web/ai/,172_4DE60C261EF162D182070FE0979CBC89.jpg,jpg,331,247
173,옥상방수마감,2025-09-02,대구광역시,북구,사격장,대구국제사격장,대구광역시 북구 문주길 170 (금호동),건물 내외부,옥상 / 지붕,"옥상 방수, 마감 등 안전상태",25상-5(조치필요) 실내사격장 옥상층 방수층 열화 및 들뜸,http://openapi.kspo.or.kr/web/ai/,173_AEEC790CA6C3CD442B35F29FCD9468EA.jpg,jpg,329,235
174,옥상방수마감,2025-09-04,울산광역시,울주군,전천후게이트볼장,웅촌게이트볼장,울산광역시 울주군 웅촌면 웅촌로 378-1,건물 내외부,옥상 / 지붕,"옥상 방수, 마감 등 안전상태","25상-2(조치필요) 내부 지붕마감 누수흔적, 부식(배수구 주변 전체)",http://openapi.kspo.or.kr/web/ai/,174_6179912E801A8161CFA3FE2AFF2A8A26.jpg,jpg,331,247
175,옥상방수마감,2025-09-08,전북특별자치도,진안군,수영장,진안군국민체육센터(구: 진안 국민체육센터),전북특별자치도 진안군 진안읍 우화2길 47-9,건물 내외부,옥상 / 지붕,"옥상 방수, 마감 등 안전상태",25상-5(조치진행중) 지붕 전체적으로 부식 및 파손(하반기 보수 예정),http://openapi.kspo.or.kr/web/ai/,175_23E0209EF6E286D62FED3BF0CBEC0800.jpg,jpg,331,247
176,옥상방수마감,2025-09-24,부산광역시,서구,육상경기장,구덕종합운동장주경기장,부산광역시 서구 대신로 150 (서대신동3가),건물 내외부,옥상 / 지붕,"옥상 방수, 마감 등 안전상태",24(상)(조치필요) 지상 4층 관람석 통로 방수 마감 보수 후 재탈락,http://openapi.kspo.or.kr/web/ai/,176_83936B90CB72174C151357E863A776ED.jpg,jpg,340,280
177,옥상방수마감,2025-09-10,경기도,화성시,전천후게이트볼장,송산게이트볼장,경기도 화성시 송산면 정도길 4,건물 내외부,옥상 / 지붕,"옥상 방수, 마감 등 안전상태",25하-6 (조치필요) 지붕 빗물 배수로 홈통 부식,http://openapi.kspo.or.kr/web/ai/,177_3751B696A85E64E8C6D9234A4A56DDEF.jpg,jpg,360,270
178,옥상방수마감,2025-08-25,인천광역시,연수구,롤러스케이트장,동춘인라인롤러경기장,인천광역시 연수구 능허대로 499 (동춘동),건물 내외부,옥상 / 지붕,"옥상 방수, 마감 등 안전상태",25하-2(조치필요) 경기장 지붕막 찣어짐(누수흔적 동반),http://openapi.kspo.or.kr/web/ai/,178_CE6D135E201EC47EF27AF819DC9D3D75.jpg,jpg,395,297
179,옥상방수마감,2025-07-15,경기도,남양주시,육상경기장,남양주시종합운동장보조경기장,경기도 남양주시 다산지금로 91 (이패동),건물 내외부,옥상 / 지붕,"옥상 방수, 마감 등 안전상태",25하-3(조치필요) 본부석 맞은편 관람석 방수 파손 전반적,http://openapi.kspo.or.kr/web/ai/,179_E6416951EC33FA1B7776A75BF6FC6EC3.png,png,170,276
180,옥상방수마감,2025-07-28,전라남도,화순군,체육관,하니움문화스포츠센터실내체육관,전라남도 화순군 화순읍 학포로 2698,건물 내외부,옥상 / 지붕,"옥상 방수, 마감 등 안전상태","25하-2(조치필요) 옥상 방수층 열화, 들뜸, 파손",http://openapi.kspo.or.kr/web/ai/,180_5CF16C07292CB1E3F35F4C1902C7CB7C.jpg,jpg,360,271
181,옥상방수마감,2025-08-26,인천광역시,서구,체육관,(취약시설)인천서구국민체육센터(구: 서구국민체육센터체육관),인천광역시 서구 승학로 525 (검암동),건물 내외부,옥상 / 지붕,"옥상 방수, 마감 등 안전상태",25하-3(조치필요) 지붕 옥상 바닥 방수층 열화/들뜸/박락,http://openapi.kspo.or.kr/web/ai/,181_0B2588F0788BBB8336B0F560DD5CF4EA.jpg,jpg,211,282
182,옥상방수마감,2025-08-07,경기도,파주시,체육관,(취약시설)파주시스포츠센터,경기도 파주시 탄현면 방촌로 1213-52,건물 내외부,옥상 / 지붕,"옥상 방수, 마감 등 안전상태","25하-6(조치필요) 옥상 방수층 들뜸, 파손(하부층 누수)",http://openapi.kspo.or.kr/web/ai/,182_7195C83C574E1B569966B48D8FCA4DDB.jpg,jpg,362,272
183,옥상방수마감,2025-07-14,경상북도,상주시,체육관,상주시실내체육관(구관),경상북도 상주시 북상주로 24-7 (계산동),건물 내외부,옥상 / 지붕,"옥상 방수, 마감 등 안전상태",25하-1(조치필요)지붕층 바닥 물고임,http://openapi.kspo.or.kr/web/ai/,183_413F73F4E1AD897F98849046E601B830.jpg,jpg,377,284
184,옥상방수마감,2025-08-25,경기도,포천시,육상경기장,포천종합운동장,경기도 포천시 군내면 호국로 1518,건물 내외부,옥상 / 지붕,"옥상 방수, 마감 등 안전상태","25하-2 (조치필요) 옥상 일부구간 퇴적물, 식생, 구배불량 물고임 발생",http://openapi.kspo.or.kr/web/ai/,184_F7A45A462203E396B438DF5181400108.jpg,jpg,363,272
185,옥상방수마감,2025-08-05,충청남도,홍성군,체육관,홍주문화체육센터,충청남도 홍성군 홍성읍 홍덕서로 78,건물 내외부,옥상 / 지붕,"옥상 방수, 마감 등 안전상태",25하-6(조치필요) 지붕층 정면측 옥상 바닥 전체적으로 방수층 열화/들뜸,http://openapi.kspo.or.kr/web/ai/,185_ACF7B133062D99F76E8C5584D2106A75.jpg,jpg,202,269
186,옥상방수마감,2025-09-18,경상북도,영주시,육상경기장,영주시민운동장,경상북도 영주시 가흥로 109 (가흥동),건물 내외부,옥상 / 지붕,"옥상 방수, 마감 등 안전상태",25하-10(조치필요) 정면 좌우측 화장실 및 창고 옥상 바닥 무근콘크리트 열화 다수,http://openapi.kspo.or.kr/web/ai/,186_E154062E8D20384789EA5FDDEBEE0176.jpg,jpg,205,274
187,옥상 과하중,2025-07-21,경기도,남양주시,체육관,호평체육문화센터,경기도 남양주시 늘을2로 67 (호평동),건물 내외부,옥상 / 지붕,옥상 물탱크·물건 적치 등 과하중 상태,25상-13(조치필요) 가설건축물로 인한 과하중 상태 문화교실-4 방향 옥상층,http://openapi.kspo.or.kr/web/ai/,187_41DF90D4DBC06CCD9EAEEC6AB547B2C6.jpg,jpg,201,269
188,옥상 과하중,2025-06-18,충청남도,예산군,육상경기장,예산종합운동장 주경기장,충청남도 예산군 예산읍 예산로 354,건물 내외부,옥상 / 지붕,옥상 물탱크·물건 적치 등 과하중 상태,25상-8(조치필요) 지붕층 물탱크실 과하중 발생,http://openapi.kspo.or.kr/web/ai/,188_562927F925135A0D7F9307B55BCA2887.jpg,jpg,354,265
189,"광고간판, 조명",2025-09-11,전북특별자치도,무주군,축구장,면생활체육공원(안성축구장),전라북도 무주군 안성면 구량천로 82,건물 내외부,부착물,"광고간판, 조명, 안내 사인물, 광고탑 등의 파손 여부",25상-6(조치필요)조명탑 새집 제거 필요,http://openapi.kspo.or.kr/web/ai/,189_EEA50615AB2B942D56268075A0A121DC.jpg,jpg,338,242
190,"광고간판, 조명",2025-09-24,부산광역시,서구,육상경기장,구덕종합운동장주경기장,부산광역시 서구 대신로 150 (서대신동3가),건물 내외부,부착물,"광고간판, 조명, 안내 사인물, 광고탑 등의 파손 여부",(조치필요) 지상 4층 본부석 배선처리 피난방해,http://openapi.kspo.or.kr/web/ai/,190_0181005E93E0D3C234DDCFA43136EEDC.jpg,jpg,341,230
191,"광고간판, 조명",2025-09-18,경상남도,의령군,야구장,의령친환경야구장,양덕동477,건물 내외부,부착물,"광고간판, 조명, 안내 사인물, 광고탑 등의 파손 여부",25상-2(조치필요) 전광판 LED탈락 야구장1,http://openapi.kspo.or.kr/web/ai/,191_39FC186156C2DFAD4FF1D9E9A4964E4E.jpg,jpg,330,248
192,"광고간판, 조명",2025-07-29,광주광역시,서구,수영장,광주실내수영장,광주광역시 서구 금화로 278 (풍암동),건물 내외부,부착물,"광고간판, 조명, 안내 사인물, 광고탑 등의 파손 여부",24하-7(조치필요) 다이빙풀 관람석 3층 소화전 상부 케이블 커버 탈락,http://openapi.kspo.or.kr/web/ai/,192_A38D8CE6A46551947DB19FD593B2DCFC.jpg,jpg,340,234
193,"광고간판, 조명",2025-07-30,광주광역시,서구,기타시설,광주 올림픽기념국민생활관,광주광역시 서구 금화로 278(풍암동),건물 내외부,부착물,"광고간판, 조명, 안내 사인물, 광고탑 등의 파손 여부",(주의관찰)배면 3. 부착물 글씨 탈락,http://openapi.kspo.or.kr/web/ai/,193_B7E452026DE95074ABC8DA23C7D532DA.jpg,jpg,331,248
194,"광고간판, 조명",2025-09-01,경기도,안산시,골프연습장,안산골프연습장,안산시단원구 원곡동 629,건물 내외부,부착물,"광고간판, 조명, 안내 사인물, 광고탑 등의 파손 여부",25하-2(조치필요) 외부 간판 전도 위험(향후 시설물 점검시 간판 점검 요망),http://openapi.kspo.or.kr/web/ai/,194_0690FCACC9AF0CA74D7BF8A22B7A0689.jpg,jpg,208,278
195,"광고간판, 조명",2025-09-03,경기도,의왕시,체육관,(취약시설)의왕청소년수련관체육관,경기도 의왕시 문화공원로 33 (고천동),건물 내외부,부착물,"광고간판, 조명, 안내 사인물, 광고탑 등의 파손 여부",25하-1 (조치필요) 체육관 내부 감시카메라 보호철물 부착상태 불량,http://openapi.kspo.or.kr/web/ai/,195_6DFC9BDE8D287C15D8A125D8F64C8327.jpg,jpg,396,298
196,"광고간판, 조명",2025-07-23,서울특별시,서초구,테니스장,시민의숲테니스장,서초구 양재동 224번지외3필지,건물 내외부,부착물,"광고간판, 조명, 안내 사인물, 광고탑 등의 파손 여부",25하-1(조치필요) 실내 부착물(스피커) 부착상태 불량,http://openapi.kspo.or.kr/web/ai/,196_E06385DFCCE92C7260D385A0F70B69F4.jpg,jpg,397,298
197,"광고간판, 조명",2025-07-14,경기도,의왕시,수영장,(취약시설)의왕국민체육센터(구: 의왕시국민체육센터수영장),경기도 의왕시 복지로 27 (내손동),건물 내외부,부착물,"광고간판, 조명, 안내 사인물, 광고탑 등의 파손 여부",25하-2(조치필요) 수영장 내부 부착물(스피커) 부착부 부식발생,http://openapi.kspo.or.kr/web/ai/,197_B3C890E91DE64592D955D4DCF4E06D93.jpg,jpg,381,286
198,"광고간판, 조명",2025-07-14,경기도,의왕시,수영장,(취약시설)의왕국민체육센터(구: 의왕시국민체육센터수영장),경기도 의왕시 복지로 27 (내손동),건물 내외부,부착물,"광고간판, 조명, 안내 사인물, 광고탑 등의 파손 여부",25하-3(조치필요) 수영장 내부 부착물(CCTV) 부착상태 불량,http://openapi.kspo.or.kr/web/ai/,198_F4CA2DE3C5871B7EF16B2ED46DD3AA15.jpg,jpg,386,291
199,"광고간판, 조명",2025-07-28,경상남도,합천군,체육관,청덕체육관,경남 합천군 청덕면 두곡리 368-1,건물 내외부,부착물,"광고간판, 조명, 안내 사인물, 광고탑 등의 파손 여부",25하-2(조치필요) 1층 외부 광고간판 일부 탈락,http://openapi.kspo.or.kr/web/ai/,199_95D55303E2919693F3060CD370DFD576.jpg,jpg,397,298
200,"광고간판, 조명",2025-09-09,서울특별시,성동구,수영장,성동구민종합체육센터수영장,성수1가 685-20,건물 내외부,부착물,"광고간판, 조명, 안내 사인물, 광고탑 등의 파손 여부","25하-1 (조치필요) 수영장 내부 부착물(스피커) 고정 철물부식, 탈락우려",http://openapi.kspo.or.kr/web/ai/,200_A330EC33BF6EF5EF5DA110C8934FC52B.jpg,jpg,364,274
201,"광고간판, 조명",2025-08-21,전라남도,광양시,육상경기장,광양시공설운동장,전라남도 광양시 광양읍 매천로 695-20,건물 내외부,부착물,"광고간판, 조명, 안내 사인물, 광고탑 등의 파손 여부",25하-1(조치필요) 지상 2층 관람석 천장 스피커 브라켓 고정볼트 개소수 불량,http://openapi.kspo.or.kr/web/ai/,201_8A8154B39D638FA2FAF191DD7F42B9D1.png,png,448,271
202,"광고간판, 조명",2025-07-16,인천광역시,서구,테니스장,가좌테니스장,인천광역시 서구 가좌로11번길 7 (가좌동),건물 내외부,부착물,"광고간판, 조명, 안내 사인물, 광고탑 등의 파손 여부",25하-4(조치필요) 실내테니스장 내부 스피커 고정상태 불량,http://openapi.kspo.or.kr/web/ai/,202_A8495E0B6F2705FE89EF1DFF4A0F245E.jpg,jpg,364,272
203,"광고간판, 조명",2025-08-21,전라남도,광양시,체육관,광양시실내체육관,전라남도 광양시 광양읍 매천로 695-20,건물 내외부,부착물,"광고간판, 조명, 안내 사인물, 광고탑 등의 파손 여부",25하-2(조치필요) 지상 2층 환기설비 덮개 전반적으로 고정 미흡,http://openapi.kspo.or.kr/web/ai/,203_458EDE098F7628FCFA2C73577DF94277.png,png,458,268
204,승강기,2025-05-14,서울특별시,은평구,체육관,은평구민체육센터,서울특별시 은평구 진관1로 40 (진관동),건물 내외부,승강기 등,"정기검사, 안전검사 여부 및 안전검사필증 부착 여부 (엘리베이터, 에스컬레이터, 기계식  주차시설 등)",25상-2(조치필요) 승강기안전검사필증 유효기간 만료,http://openapi.kspo.or.kr/web/ai/,204_549CD55EEC8DA012B1D53BDE0C183982.jpg,jpg,215,287
205,승강기,2025-05-27,전라남도,장흥군,체육관,장흥실내체육관,전라남도 장흥군 장흥읍 읍성로 5-28,건물 내외부,승강기 등,"정기검사, 안전검사 여부 및 안전검사필증 부착 여부 (엘리베이터, 에스컬레이터, 기계식  주차시설 등)",25상-5(조치필요) 승강기 안전검사 유효기간 만료,http://openapi.kspo.or.kr/web/ai/,205_90D48E1332D69EDB1F8ED39865330F81.jpg,jpg,214,286
206,승강기,2025-05-27,경상남도,합천군,체육관,합천체육관,경상남도 합천군 합천읍 장수로 1,건물 내외부,승강기 등,"정기검사, 안전검사 여부 및 안전검사필증 부착 여부 (엘리베이터, 에스컬레이터, 기계식  주차시설 등)",25상-12(조치필요) 승강기 안전섬사필증 유효기간 만료,http://openapi.kspo.or.kr/web/ai/,206_488E8A92208B695AF46ADE44D921AD50.jpg,jpg,208,278
